Phrasal Verb,Meaning,Example
Cave in,Give in to pressure.,He CAVED IN to their demands after the strike.
Chalk out,Plan or outline.,We CHALKED OUT a strategy for the campaign.
Chalk up,Achieve or score.,She CHALKED UP another victory in the tournament.
Chance on,Find by chance.,I CHANCED ON an interesting book in the library.
Chance upon,Find by chance.,We CHANCED UPON a lovely little restaurant in the old town.
Change over,Switch to something different.,We've CHANGED OVER to a new computer system.
Charge up,Put electricity into a battery.,I need to CHARGE UP my phone; the battery's nearly dead.
Charge with,Formally accuse of a crime.,He was CHARGED WITH murder.
Chase after,Pursue.,He's always CHASING AFTER younger women.
Chase away,Make someone or something leave.,The dog CHASED the cats AWAY.
Chase down,Pursue until caught.,The police CHASED the thief DOWN.
Chase up,"Try to get information about something.","I'll CHASE UP that order and see why it hasn't arrived."
Chat up,"Talk to someone in a flirtatious way.","He tried to CHAT her UP, but she wasn't interested."
Cheat on,"Be unfaithful to a partner.","She CHEATED ON her husband with his best friend."
Check in,"Register at a hotel or airport.","We CHECKED IN two hours before the flight."
Check into,Enter a hotel as a guest.,We CHECKED INTO the hotel late last night.
Check off,Tick items on a list.,I CHECKED OFF the items as I packed them.
Check on,Inspect or examine.,I'll CHECK ON the kids before I go to bed.
Check out,Pay one's bill and leave a hotel.,We CHECKED OUT of the hotel before noon.
Check out,Investigate or look at.,CHECK OUT the new restaurant down the street.
Check over,Examine carefully.,The mechanic CHECKED OVER the car before the long trip.
Check up on,Investigate to make sure something is as it should be.,My boss likes to CHECK UP ON me when I'm working from home.
Cheer on,Encourage by shouting support.,The crowd CHEERED ON the home team.
Cheer up,Become happier or make someone feel happier.,CHEER UP! Things will get better.
Chew out,Reprimand severely.,The boss CHEWED him OUT for being late again.
Chew over,Think about carefully.,Let's CHEW OVER these ideas and discuss them tomorrow.
Chew up,Damage by chewing.,The dog CHEWED UP my favorite shoes.
Chicken out,Decide not to do something because you are afraid.,He was going to ask her out but CHICKENED OUT at the last minute.
Chill out,Relax.,CHILL OUT! There's no need to get so stressed.
Chip away at,Gradually reduce or diminish.,We've been CHIPPING AWAY AT the problem for months.
Chip in,Contribute money or an idea.,Everyone CHIPPED IN to buy the boss a leaving present.
Choke back,Suppress a strong emotion.,She CHOKED BACK her tears and tried to smile.
Choke down,Eat or drink with difficulty.,He CHOKED DOWN the awful medicine.
Choke off,Stop or suppress.,The new regulations CHOKED OFF investment in the industry.
Choke up,Become emotional and unable to speak.,He CHOKED UP when talking about his late wife.
Chomp at the bit,Be very eager to do something.,The kids are CHOMPING AT THE BIT to open their presents.
Choose up,Select members for a team.,They CHOSE UP sides for the game.
Chop down,Cut down (usually a tree).,They CHOPPED DOWN the old oak tree.
Chop up,Cut into pieces.,She CHOPPED UP the vegetables for the salad.
Chuck away,Throw away.,Don't CHUCK AWAY those old clothes; we can donate them.
Chuck in,"Give up, abandon.","He CHUCKED IN his job and went travelling."
Chuck out,Throw away.,We CHUCKED OUT all our old furniture when we moved.
Chuck up,Vomit.,He CHUCKED UP after eating that dodgy seafood.
Churn out,Produce large amounts quickly.,The factory CHURNS OUT thousands of cars every week.
Churn up,"Disturb or agitate.","The boats CHURNED UP the water in the lake."
Clam up,"Become silent, refuse to speak.","When the police arrived, he CLAMMED UP and wouldn't say a word."
Clamp down on,"Take action to prevent something.","The government is CLAMPING DOWN ON tax evasion."
Clean out,"Remove the contents and clean.","We need to CLEAN OUT the garage this weekend."
Clean up,"Make a place tidy.","Let's CLEAN UP before our guests arrive."
Clean up,"Make a large profit.","He CLEANED UP on the stock market."
Clear away,"Remove things to make a space clear.","We CLEARED AWAY the dishes after dinner."
Clear off,"Leave (often used as a rude way of telling someone to go away).","CLEAR OFF! I don't want to talk to you."
Clear out,"Leave quickly.","When the alarm went off, everyone CLEARED OUT of the building."
Clear up,"Solve or explain.","The detective CLEARED UP the mystery."
Clear up,"Become bright and sunny (for weather).","The weather should CLEAR UP by this afternoon."
Click through,Follow a hyperlink.,Many people CLICK THROUGH ads without reading them.
Climb down,Admit you were wrong.,The minister CLIMBED DOWN and apologized for his mistake.
Cling on,Hold tightly to something.,The climber CLUNG ON to the rock face.
Cling to,Refuse to give up an idea or belief.,She CLUNG TO the hope that he was still alive.
Clock in,Record the time you arrive at work.,I CLOCK IN at 9 am every morning.
Clock off,Record the time you leave work.,I usually CLOCK OFF at 5 pm.
Clock up,Accumulate.,He's CLOCKED UP over a million miles in his career as a pilot.
Close down,"Stop operating permanently.","The factory CLOSED DOWN due to lack of orders."
Close in,"Move nearer, especially to threaten or capture.","The police were CLOSING IN on the suspects."
Close in on,"Get nearer to catching or finding.","The hunters were CLOSING IN ON their prey."
Close off,"Block access to.","They CLOSED OFF the road for the parade."
Close up,Shut a business at the end of the day.,The shop CLOSES UP at 6 pm.
Clown around,Behave in a silly way.,Stop CLOWNING AROUND and get back to work!
Club together,Join with others to pay for something.,We CLUBBED TOGETHER to buy the teacher a leaving gift.
Clue in,Inform someone about something.,Can you CLUE me IN on what happened at the meeting?
Clutch at,Try desperately to get or keep something.,He CLUTCHED AT the chance to save his job.
Coast along,Progress with little effort.,The team was COASTING ALONG until they met some real competition.
Cobble together,Create something quickly from whatever is available.,We COBBLED TOGETHER a meal from what was left in the fridge.
Cock up,Make a mistake or spoil something.,I really COCKED UP that presentation.
Come about,Happen.,How did the accident COME ABOUT?
Come across,Find by chance.,I CAME ACROSS some old photos while I was cleaning the attic.
Come across,Give a certain impression.,He COMES ACROSS as very confident in interviews.
Come along,Accompany.,Why don't you COME ALONG to the party?
Come apart,Break into pieces.,The old book CAME APART in my hands.
Come around,Regain consciousness.,She CAME AROUND slowly after the operation.
Come around,"Change one's opinion.","He was against the idea at first, but he CAME AROUND eventually."
Come around,"Visit.","Why don't you COME AROUND for dinner sometime?"
Come at,Attack.,"The dog CAME AT me, barking furiously."
Come away,Leave a place with a particular feeling or impression.,I CAME AWAY from the meeting feeling very positive.
Come back,Return.,"When did you COME BACK from your holiday?"
Come back at,"Reply quickly, often in an argument.","She CAME BACK AT him with a sharp retort."
Come between,"Cause disagreement between people.","Don't let money COME BETWEEN you and your friends."
Come by,"Acquire or obtain, often with difficulty.","How did you COME BY that rare book?"
Come down,Reduce in price or amount.,"House prices have COME DOWN recently."
Come down on,Criticize or punish severely.,"The judge CAME DOWN hard ON the repeat offender."
Come down to,Be a matter of.,It all COMES DOWN TO whether we can afford it or not.
Come down with,Become ill.,I've COME DOWN WITH a bad cold.
Come forth,Appear or emerge.,Witnesses were asked to COME FORTH with any information.
Come forward,Volunteer information.,Several people CAME FORWARD to help with the investigation.
Come from,Originate from.,Where do you COME FROM originally?
Come in,Arrive.,What time does your train COME IN?
Come in for,Receive (often criticism or praise).,The government has COME IN FOR a lot of criticism over its new policy.
Come into,Inherit.,She CAME INTO a lot of money when her aunt died.
Come off,"Succeed.","The plan CAME OFF perfectly."
Come off,"Happen, take place.","The wedding CAME OFF without a hitch."
Come off,"Become detached.","The handle CAME OFF when I tried to open the door."
Come on,"Hurry up.","COME ON! We'll be late for the movie."
Come on,Make progress.,How's your novel COMING ON?
Come out,Become known.,The truth finally CAME OUT.
Come out,Appear.,My photos haven't COME OUT very well.
Come out,Declare one's homosexuality publicly.,He CAME OUT to his parents last year.
Come out in,Develop spots or a rash on skin.,She CAME OUT IN a rash after eating strawberries.
Come out with,"Say something, often unexpectedly.",He suddenly CAME OUT WITH a strange comment.
Come over,Visit someone's home.,"Why don't you COME OVER for dinner tonight?"
Come round,"Regain consciousness.","It took her a while to COME ROUND after fainting."
Come round,"Change one's mind.","He was against the idea at first, but he CAME ROUND eventually."
Come through,Survive an ordeal.,"She CAME THROUGH the operation successfully."
Come through,Be received.,"Your message CAME THROUGH clearly."
Come through with,Provide something promised.,The sponsor CAME THROUGH WITH the money just in time.
Come to,Regain consciousness.,He CAME TO after being knocked out.
Come to,Amount to.,The bill CAME TO more than we expected.
Come under,Be subject to.,The company has COME UNDER scrutiny for its tax practices.
Come up,Arise.,Several interesting points CAME UP during the discussion.
Come up,Approach.,Christmas is COMING UP soon.
Come up against,Encounter problems or difficulties.,We CAME UP AGAINST some unexpected opposition.
Come up with,Think of an idea or plan.,Can you COME UP WITH a solution to this problem?
Come upon,Find by chance.,We CAME UPON a beautiful little village during our drive.
Conk out,Stop working.,My car CONKED OUT in the middle of nowhere.
Conk out,Fall asleep.,I CONKED OUT on the sofa while watching TV.
Contract out,Arrange for another company to do work for you.,"The company CONTRACTED OUT its cleaning services."
Cook up,"Invent a story or excuse, often dishonestly.",He COOKED UP an elaborate excuse for being late.
Cool down,Become less hot.,"Let the soup COOL DOWN before you eat it."
Cool off,Become calm after being angry.,"Take a walk to COOL OFF after the argument."
Cop off,Kiss or have sex with someone (British slang).,He COPPED OFF with someone at the party last night.
Cop out,Avoid doing something you should do.,Don't COP OUT of your responsibilities.
Copy in,Include someone in an email.,Please COPY me IN on your reply.
Cost up,Calculate the total cost of something.,We need to COST UP the project before we can start.
Cotton on,Begin to understand.,"It took me a while to COTTON ON to what was happening."
Cotton to,Start to like someone or something.,"I didn't COTTON TO him at first, but now we're good friends."
Cough up,Pay (usually reluctantly).,"The company finally COUGHED UP the money they owed us."
Could do with,Need or want.,"I COULD DO WITH a cup of coffee."
Count against,Be unfavorable for someone or something.,Your lack of experience will COUNT AGAINST you in this job application.
Count down,Count backwards to zero.,"We COUNTED DOWN to midnight on New Year's Eve."
Count in,Include.,"If you're going to the cinema, COUNT me IN."
Count on,Rely on.,"I'm COUNTING ON you to help me move house."
Count out,Exclude.,"COUNT me OUT of the game; I don't feel well."
Count up,Calculate a total.,Let's COUNT UP how much we've spent so far.
Cover for,"Do someone's work while they are away.",Can you COVER FOR me while I'm on vacation?
Cover up,"Hide or conceal, often something bad.",The company tried to COVER UP the accounting scandal.
Crack down,Take severe measures against.,"The police are CRACKING DOWN ON drunk driving."
Crack on,"Continue doing something (British informal).",We'd better CRACK ON with this work if we want to finish today.
Crack up,Break down mentally.,The stress of the job caused him to CRACK UP.
Crack up,Laugh uncontrollably.,The audience CRACKED UP at his jokes.
Crank out,Produce something quickly.,The factory CRANKS OUT hundreds of cars every day.
Crank up,Increase.,"They CRANKED UP the volume on the stereo."
Crash out,Fall asleep suddenly due to exhaustion.,"After the long journey, I CRASHED OUT on the sofa."
Creep in,Enter or develop gradually without being noticed.,"Errors had CREPT IN to the report."
Creep out,Make someone feel uncomfortable or scared.,"That old house really CREEPS me OUT."
Creep up on,Approach slowly without being noticed.,Old age CREPT UP ON him before he realized it.
Crop up,Happen unexpectedly.,"Something important CROPPED UP, so I couldn't attend the meeting."
Cross off,Remove an item from a list.,I CROSSED OFF each task as I completed it.
Cross out,Draw a line through written text.,The teacher CROSSED OUT all my spelling mistakes.
Crowd in,Enter a place in large numbers.,Fans CROWDED IN to see the celebrity.
Crowd out,Prevent something by taking its place.,The weeds are CROWDING OUT the flowers.
Cruise along,Move smoothly and effortlessly.,We were CRUISING ALONG nicely until we hit traffic.
Crumb down,Remove crumbs from a table or other surface.,She CRUMBED DOWN the table after the meal.
Cry off,"Cancel an arrangement.","He CRIED OFF at the last minute, saying he was ill."
Cry out,Shout or scream.,The child CRIED OUT in pain.
Cry out for,Desperately need.,The situation is CRYING OUT FOR strong leadership.
Cuddle up,Snuggle close to someone.,We CUDDLED UP on the sofa to watch a movie.
Cuss out,Criticize or reprimand severely.,The boss CUSSED him OUT for being late again.
Cut across,Take a shorter route.,We CUT ACROSS the field to save time.
Cut back,Reduce.,We need to CUT BACK on our spending.
Cut down,Reduce.,You should CUT DOWN on fatty foods.
Cut down,Fell (a tree).,They CUT DOWN the old oak tree.
Cut in,"Interrupt.",He kept CUTTING IN while I was trying to explain.
Cut into,"Interrupt.","Sorry to CUT INTO your conversation, but this is urgent."
Cut it out,"Stop doing something annoying.",CUT IT OUT! Your jokes aren't funny.
Cut off,"Disconnect.",Our phone was CUT OFF because we forgot to pay the bill.
Cut out,Stop functioning.,The engine CUT OUT in the middle of the journey.
Cut out,Remove by cutting.,I CUT OUT the coupon from the newspaper.
Cut up,Cut into pieces.,Can you CUT UP the vegetables for the salad?
Cut up,Drive aggressively.,He CUT me UP on the highway.
Dash off,Leave quickly.,He DASHED OFF to catch his train.
Dash off,Write quickly.,I need to DASH OFF a quick email before the meeting.
Deal in,Buy and sell as a business.,The company DEALS IN rare books.
Deal out,Distribute.,The teacher DEALT OUT the exam papers.
Deal with,Handle or cope with.,I'll DEAL WITH this problem tomorrow.
Decide on,Choose.,Have you DECIDED ON a name for the baby yet?
Deck out,Decorate.,They DECKED OUT the hall for the Christmas party.
Dial down,Reduce the intensity of something.,We need to DIAL DOWN the rhetoric and have a calm discussion.
Dial in,Participate in a conference call.,I'll DIAL IN to the meeting from home.
Dial up,Increase.,The government is DIALING UP pressure on tax evaders.
Dig in,Start eating enthusiastically.,The kids DUG IN to the ice cream.
Dig into,Investigate thoroughly.,The reporter is DIGGING INTO the politician's past.
Dig out,"Find and remove something.",I DUG OUT my old college textbooks from the attic.
Dig up,"Discover information, often from the past.",The journalist DUG UP some interesting facts about the celebrity.
Dine out,"Eat at a restaurant.",We like to DINE OUT at least once a week.
Dine out on,"Tell an interesting story repeatedly.",He's been DINING OUT ON that story for years.
Dip in,"Decrease slightly or briefly.",Sales DIPPED IN the third quarter but recovered by year-end.
Dip into,"Use part of something, especially money.",I had to DIP INTO my savings to pay for the car repairs.
Dish out,"Distribute or give.",The teacher DISHED OUT detention to the misbehaving students.
Dish up,"Serve food.",She DISHED UP a delicious meal for her guests.
Dive in,"Start doing something with enthusiasm.","Don't wait for permission, just DIVE IN and start working."
Divvy up,"Divide and distribute.",Let's DIVVY UP the profits equally.
Do away with,"Get rid of.",The company has DONE AWAY WITH casual Fridays.
Do in,Kill.,The detective tried to figure out who had DONE IN the victim.
Do out,"Clean thoroughly (British English).",She DOES OUT the house every spring.
Do over,"Repeat or redo.","I messed up the first attempt, so I had to DO it OVER."
Do up,"Fasten or close.",Can you DO UP my zipper?
Do up,"Renovate.",They're DOING UP an old house in the countryside.
Do without,Manage without having something.,We'll have to DO WITHOUT luxuries for a while.
Do with,"Need or want.",I COULD DO WITH a cup of coffee.
Dole out,"Distribute, often in small amounts.",The government DOLED OUT aid to the flood victims.
Doss about/around,"Spend time idly (British informal).",Stop DOSSING AROUND and get some work done!
Double back,Return the way you came.,We DOUBLED BACK when we realized we'd taken a wrong turn.
Double up,"Share something between two people.",We'll have to DOUBLE UP in the hotel rooms to save money.
Double up,"Bend over, often due to pain or laughter.",He DOUBLED UP with laughter at the joke.
Doze off,Fall asleep.,I DOZED OFF during the boring lecture.
Drag on,Continue for too long.,The meeting DRAGGED ON for hours.
Drag out,Make something last longer than necessary.,Let's not DRAG OUT this discussion any longer.
Draw back,Move away from something.,She DREW BACK in fear when she saw the snake.
Draw down,Reduce the number of military forces.,The government plans to DRAW DOWN troops in the region.
Draw in,Attract.,The museum exhibition is DRAWING IN large crowds.
Draw on,Use knowledge or experience.,He DREW ON his years of experience to solve the problem.
Draw out,Make something last longer.,The lawyer tried to DRAW OUT the trial.
Draw out,Elicit information from someone.,The therapist skillfully DREW OUT the patient's feelings.
Draw up,Prepare a document.,We need to DRAW UP a contract for the new employee.
Dream up,Invent an idea or plan.,He DREAMED UP a scheme to make quick money.
Dress down,Wear casual clothes.,We can DRESS DOWN on Fridays at the office.
Dress up,Wear formal or fancy clothes.,We're DRESSING UP for the wedding.
Drift apart,Gradually become less close to someone.,They DRIFTED APART after leaving school.
Drift off,Fall asleep gradually.,I DRIFTED OFF while watching TV.
Drink in,"Absorb or enjoy a view or atmosphere.",We DRANK IN the beautiful sunset.
Drink up,"Finish a drink.","DRINK UP, we need to leave soon."
Drive at,"Mean or imply.",What are you DRIVING AT with these questions?
Drive away,Make someone or something leave.,The loud music DROVE AWAY all the customers.
Drive back,Force to retreat.,The army DROVE BACK the invaders.
Drive by,Pass by in a vehicle.,We DROVE BY the accident without stopping.
Drive off,Leave in a vehicle.,They DROVE OFF without saying goodbye.
Drop around/round,Visit casually.,Why don't you DROP ROUND for a coffee sometime?
Drop back,Fall behind.,He DROPPED BACK to let the others pass.
Drop by,Visit briefly and casually.,I'll DROP BY your office later to discuss the project.
Drop in,Visit without an appointment.,Feel free to DROP IN anytime.
Drop off,Fall asleep.,I DROPPED OFF during the movie.
Drop off,Deliver someone or something.,Can you DROP me OFF at the station?
Drop out,Leave school before finishing.,He DROPPED OUT of college after one semester.
Drop out of,Stop participating in something.,She DROPPED OUT OF the race due to an injury.
Drown out,Make a sound inaudible by making a louder sound.,The traffic DROWNED OUT our conversation.
Drum into,Teach by constant repetition.,My parents DRUMMED INTO me the importance of hard work.
Drum out,Expel with disgrace.,He was DRUMMED OUT of the army for misconduct.
Drum up,Generate or create.,We need to DRUM UP some new business.
Dry off,Remove moisture.,I DRIED OFF with a towel after swimming.
Dry out,"Become or make completely dry.",Leave the wet shoes outside to DRY OUT.
Dry up,"Stop talking, often due to nervousness.",He DRIED UP in the middle of his speech.
Dub in,Add sound to a film.,They DUBBED IN the dialogue later.
Duck out,Leave suddenly to avoid something.,He DUCKED OUT of the meeting early.
Duff up,Beat up (British slang).,He got DUFFED UP in a bar fight.
Dumb down,Simplify something so much that it loses value or meaning.,They DUMBED DOWN the textbook to make it easier for students.
Dump on,Criticize unfairly.,Don't DUMP ON me; it's not my fault!
Dust down,Clean by removing dust.,I DUSTED DOWN all the shelves.
Dust off,Clean and prepare for use after a long time.,I DUSTED OFF my old guitar and started playing again.
Ease off,Reduce or become less severe.,The rain EASED OFF in the afternoon.
Ease up,Become less severe or relax.,The teacher EASED UP on the homework over the holidays.
Eat away at,Gradually destroy or diminish.,Worry was EATING AWAY AT him.
Eat in,Eat at home rather than at a restaurant.,We decided to EAT IN tonight to save money.
Eat into,Use up,The legal fees are EATING INTO our profits.
Eat out,Eat at a restaurant.,We usually EAT OUT on Friday nights.
Eat up,Eat all of something.,EAT UP your vegetables!
Edge out,Defeat by a small margin.,She EDGED OUT her rival to win the race.
Egg on,"Encourage someone to do something, often something unwise.",His friends EGGED him ON to drink more.
Eke out,Make something last longer by using it sparingly.,We had to EKE OUT our supplies until the next delivery.
Embark on,Start a new project or venture.,"She's EMBARKING ON a new career in teaching."
End up,"Reach a state, condition, or place.",We ENDED UP at a small café after walking for hours.
Engage in,Take part in.,"The two countries are ENGAGING IN peace talks."
Enter into,Begin or start.,"We ENTERED INTO negotiations with the union."
Eye up,Look at someone or something with interest.,He was EYEING UP the new car in the showroom.
Face off,Confront each other.,The two teams FACED OFF in the final match.
Face up to,Confront and deal with something unpleasant.,It's time to FACE UP TO your responsibilities.
Factor in,Include something when making calculations or decisions.,We need to FACTOR IN the cost of travel.
Fade away,Gradually disappear.,The music FADED AWAY as we drove off.
Fade out,Gradually disappear (often used for sound or light).,The lights FADED OUT at the end of the show.
Fall about,Laugh uncontrollably.,We FELL ABOUT laughing at his jokes.
Fall apart,Break into pieces.,The old chair FELL APART when I sat on it.
Fall back,Retreat.,The army was forced to FALL BACK.
Fall back on,Have something to use if other things fail.,I can always FALL BACK ON my savings if I lose my job.
Fall behind,Fail to keep up.,He FELL BEHIND in his mortgage payments.
Fall for,Be deceived by.,Don't FALL FOR that old trick!
Fall for,Fall in love with.,She FELL FOR him the moment they met.
Fall in,Collapse.,The roof FELL IN during the earthquake.
Fall in with,Meet by chance and join.,He FELL IN WITH a group of artists in Paris.
Fall off,Decrease.,Sales have FALLEN OFF this quarter.
Fall on,Attack.,The wolves FELL ON their prey.
Fall out,Quarrel.,The two friends FELL OUT over a girl.
Fall out,Happen.,Things FELL OUT exactly as we had planned.
Fall over,Lose balance and drop to the ground.,He FELL OVER on the icy pavement.
Fall through,Fail to happen.,"Our vacation plans FELL THROUGH at the last minute."
Fall to,Begin doing something with energy.,"After the meeting, we FELL TO discussing the project."
Fan out,Spread out in different directions.,"The search party FANNED OUT to cover more ground."
Fancy up,Make something more elaborate or fancy.,"She FANCIED UP the simple dress with some jewelry."
Farm out,Delegate work to others.,We FARMED OUT some of the coding work to freelancers.
Fathom out,Understand or solve something difficult.,I can't FATHOM OUT why the computer keeps crashing.
Fatten up,Make or become fatter.,They FATTENED UP the turkey for Christmas dinner.
Fawn over,Give excessive flattery or attention.,The fans were FAWNING OVER the celebrity at the premiere.
Feel out,Assess someone's opinion carefully.,I FELT him OUT about the new proposal before presenting it formally.
Feel up to,Feel well enough to do something.,I don't FEEL UP TO going out tonight.
Fence in,Enclose with a fence.,We FENCED IN the backyard to keep the dog from running away.
Fence off,Separate or enclose with a fence.,They FENCED OFF the construction site for safety reasons.
Ferret out,Discover through persistent searching.,The reporter FERRETED OUT the truth about the scandal.
Fess up,Confess or admit something.,"Come on, FESS UP! We know you took the cookies."
Fiddle about/around,Waste time doing unimportant things.,"Stop FIDDLING AROUND and get to work!"
Figure on,Expect or plan.,"I FIGURED ON spending about $100 on dinner."
Figure out,Understand or solve.,I can't FIGURE OUT how to use this new software.
Fill in,Complete a form.,Please FILL IN your details on this application.
Fill in,Substitute for someone.,Can you FILL IN for me at the meeting? I'm not feeling well.
Fill in on,Give someone information about something.,FILL me IN ON what happened at the party.
Fill out,Complete a form.,Don't forget to FILL OUT your tax return.
Fill up,Make or become full.,Let's FILL UP the car with gas before we leave.
Filter out,Remove something unwanted.,This software FILTERS OUT spam emails.
Finish off,Complete or consume the last part of something.,We FINISHED OFF the cake after dinner.
Finish up,Complete.,Let's FINISH UP this project by Friday.
Finish with,End a relationship or stop using something.,I've FINISHED WITH that book if you want to borrow it.
Fire away,Start asking questions.,"If you have any questions, FIRE AWAY!"
Fire off,Send quickly.,He FIRED OFF an angry email to the customer service department.
Fire up,Start an engine or machine.,He FIRED UP the grill for the barbecue.
Firm up,Make more definite or final.,We need to FIRM UP our plans for the weekend.
Fish for,Try to get information indirectly.,He was FISHING FOR compliments about his new haircut.
Fish out,"Remove something from a container, especially with difficulty.",She FISHED OUT a coin from the bottom of her purse.
Fit in,Be accepted by a group.,The new student is trying hard to FIT IN at school.
Fit in with,Be in agreement with.,Your ideas FIT IN WITH our plans perfectly.
Fix up,Repair or renovate.,They're FIXING UP an old house to sell.
Flag down,Signal for a vehicle to stop.,"We FLAGGED DOWN a taxi outside the hotel."
Flake out,Fall asleep or collapse from exhaustion.,"After the long hike, I FLAKED OUT on the couch."
Flame out,Fail spectacularly.,"The startup FLAMED OUT after only six months."
Flare up,Suddenly become angry.,"He FLARES UP at the slightest provocation."
Flash back,Recall a memory suddenly and vividly.,"While watching the movie, I FLASHED BACK to my childhood."
Flesh out,Add details to.,"We need to FLESH OUT this proposal before presenting it."
Flick through,"Look at a book, magazine, etc. quickly.",I FLICKED THROUGH the magazine while waiting at the dentist's.
Fling out,Say something suddenly and angrily.,"She FLUNG OUT some harsh words that she later regretted."
Flip out,React very strongly or angrily; lose control.,"He FLIPPED OUT when he saw the scratch on his new car."
Flop down,Sit or lie down heavily due to tiredness.,"After the long day, I FLOPPED DOWN on the sofa."
Flunk out,Fail a course or be expelled from school.,"He FLUNKED OUT of college after his first year."
Flush out,Force from hiding.,"The police used tear gas to FLUSH OUT the criminals."
Fly at,Attack suddenly and angrily.,The cat FLEW AT the dog when it came too close.
Fly by,Pass quickly (of time).,The years have FLOWN BY since we graduated.
Fly into,Become suddenly very angry.,He FLEW INTO a rage when he heard the news.
Fob off,Give someone something of inferior quality.,They tried to FOB us OFF with an inferior product.
Focus on,Concentrate on.,Let's FOCUS ON solving this problem first.
Foist on/upon,Force someone to accept something unwanted.,He tried to FOIST his opinion ON everyone at the meeting.
Follow through,Complete an action.,It's important to FOLLOW THROUGH on your promises.
Follow up,Take further action.,I'll FOLLOW UP with an email after our phone call.
Fool around,Waste time.,Stop FOOLING AROUND and get back to work!
Force out,Make someone leave a job or position.,The CEO was FORCED OUT after the scandal.
Fork out,Pay (usually reluctantly).,"We had to FORK OUT $500 for car repairs."
Freak out,"Become very anxious or excited.","Don't FREAK OUT, but I've got some big news."
Free up,Make available.,"This new software will FREE UP a lot of our time."
Freeze out,Exclude someone from a group or activity.,"They FROZE him OUT of the decision-making process."
Freeze over,Become covered with ice.,The lake FREEZES OVER every winter.
Freshen up,Make oneself clean and tidy.,I'm going to FRESHEN UP before dinner.
Frog march,Force someone to walk forward by holding their arms.,The security guards FROG MARCHED the troublemaker out of the building.
Front for,Represent or act as a cover for.,The legitimate business was FRONTING FOR a money laundering operation.
Front up,Appear or present oneself.,He FRONTED UP to the police station to answer questions.
Frown on/upon,Disapprove of.,My parents FROWN ON tattoos.
Fry up,Cook food in hot oil or fat.,He FRIED UP some eggs for breakfast.
Fuel up,Fill a vehicle with fuel.,We need to FUEL UP before the long drive.
Fumble for,Search for something clumsily.,He FUMBLED FOR his keys in the dark.
Funk out,Become very afraid (British informal).,He FUNKED OUT at the last minute and didn't do the bungee jump.
Gad about,Go around from one place to another in search of pleasure.,She's always GADDING ABOUT instead of studying.
Gain on,Get closer to someone or something when pursuing.,The police were GAINING ON the suspect.
Gang up on,Unite against (usually unfairly).,The other kids GANGED UP ON him in the playground.
Gear to/towards,Adapt something for a particular purpose or person.,The course is GEARED TOWARDS beginners.
Gear up,Prepare.,"We're GEARING UP for the busy holiday season."
Get about,"Move around, especially after an illness or injury.",He's GETTING ABOUT much better since his hip operation.
Get across,Communicate successfully.,"I'm not sure I GOT my point ACROSS in the meeting."
Get ahead,Make progress.,"You need to work hard to GET AHEAD in this company."
Get along,Have a friendly relationship.,I GET ALONG well with my colleagues.
Get around,Avoid dealing with a problem.,He's very clever at GETTING AROUND the rules.
Get around to,Find time to do something.,I finally GOT AROUND TO cleaning the garage.
Get at,Imply.,What are you GETTING AT with these questions?
Get away,Escape.,The thief GOT AWAY before the police arrived.
Get away with,Do something wrong without being punished.,He thought he could GET AWAY WITH cheating on the test.
Get back,Return.,When did you GET BACK from your vacation?
Get back at,Take revenge on.,She GOT BACK AT him by spreading rumors.
Get back to,Return to an activity or topic.,Let's GET BACK TO our discussion about the budget.
Get behind,Support.,The whole team GOT BEHIND the new project.
Get by,Manage with difficulty.,We're just GETTING BY on one salary.
Get down,Depress.,This gloomy weather really GETS me DOWN.
Get down to,Start doing something seriously.,It's time to GET DOWN TO some hard work.
Get in,Arrive.,What time does your train GET IN?
Get in,Be elected.,The conservatives GOT IN at the last election.
Get into,Become interested in or involved with.,How did you GET INTO photography?
Get off,Leave a form of transport.,We GET OFF the bus at the next stop.
Get off,Be acquitted in court.,He GOT OFF on a technicality.
Get on,Enter a form of transport.,We GOT ON the train at London.
Get on,Have a good relationship.,How do you GET ON with your new boss?
Get out,Leave a place.,Let's GET OUT of here before it rains.
Get out,Become known.,The news GOT OUT despite our efforts to keep it secret.
Get out of,Avoid doing something.,He's always trying to GET OUT OF doing the dishes.
Get over,Recover from an illness or sad experience.,It took me a long time to GET OVER my ex.
Get round,Avoid dealing with a problem or rule.,He always manages to GET ROUND the regulations somehow.
Get round to,Find time to do something.,I must GET ROUND TO answering those emails.
Get through,Finish successfully.,We finally GOT THROUGH all the paperwork.
Get through to,Make someone understand.,I'm having trouble GETTING THROUGH TO him about the importance of studying.
Get to,Arrive at.,What time did you GET TO the party?
Get together,"Meet, usually for a social occasion.",Let's GET TOGETHER for dinner soon.
Get up,Rise from bed.,I usually GET UP at 7 am.
Get up to,Do (usually something naughty or wrong).,What have those kids been GETTING UP TO?
Give away,Reveal information unintentionally.,His nervous smile GAVE AWAY the fact that he was lying.
Give back,Return something.,"Please GIVE my pen BACK when you're done with it."
Give in,Surrender or yield.,"After hours of negotiation, the terrorists finally GAVE IN."
Give off,Emit.,"The flowers GIVE OFF a beautiful scent."
Give out,Distribute.,"They were GIVING OUT free samples at the supermarket."
